6666;0;0;0;0;0;0;0;0;0;0
0;11;15;15;16;18;28;24;19;5;5
0;254;63;63;104;77;79;51;9;5;5
0;6;8;8;8;8;10;10;9;5;5
0;6;7;7;7;8;10;10;9;5;5
0;6;6;6;6;6;6;6;6;5;5
0;420;110;110;179;137;151;101;26;5;5

6668;0;0;0;0;0;0;0;0;0;0
0;48;27;25;30;27;21;13;9;9;9
0;1373;559;442;708;551;434;159;9;9;9
0;17;13;13;14;13;12;10;9;9;9
0;14;12;12;13;12;11;10;9;9;9
0;47;34;34;34;34;19;10;9;9;9
0;2787;1276;1042;1524;1242;862;258;9;9;9

6671;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0

6664;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0

6665;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0

6662;0;0;0;0;0;0;0;0;0;0
0;2;2;2;2;2;2;2;1;1;1
0;15;5;5;7;5;5;4;1;1;1
0;2;2;2;2;2;2;2;1;1;1
0;2;2;2;2;2;2;2;1;1;1
0;2;2;2;2;2;2;2;1;1;1
0;24;7;7;10;8;8;5;1;1;1

6663;0;0;0;0;0;0;0;0;0;0
0;2;14;14;142;145;159;155;149;2;2
0;2;5;5;24;25;28;27;25;2;2
0;2;5;5;28;29;32;31;30;2;2
0;2;5;5;28;29;32;31;30;2;2
0;2;3;3;21;21;21;21;21;2;2
0;2;20;20;253;259;279;273;265;2;2

462;0;0;0;0;0;0;0;0;0;0
0;18;9;9;11;10;9;7;5;5;5
0;570;132;132;226;163;162;99;5;5;5
0;6;5;5;6;5;5;5;5;5;5
0;5;5;5;5;5;5;5;5;5;5
0;6;7;7;7;7;7;5;5;5;5
0;952;261;261;418;314;300;166;9;9;9

458;0;0;0;0;0;0;0;0;0;0
0;25;26;26;26;27;55;29;27;22;22
0;136;37;37;59;44;46;31;9;8;8
0;12;13;13;13;13;21;13;13;12;12
0;10;10;10;10;11;15;11;11;10;10
0;51;51;51;51;51;124;51;51;51;51
0;658;496;496;532;509;1242;489;451;444;444

460;0;0;0;0;0;0;0;0;0;0
0;21;14;14;15;15;24;14;12;12;12
0;377;89;89;151;110;110;68;7;7;7
0;9;8;8;9;9;11;8;8;8;8
0;8;7;7;8;8;9;7;7;7;7
0;24;23;23;24;23;51;23;23;23;23
0;792;312;312;414;346;626;277;174;174;174

459;0;0;0;0;0;0;0;0;0;0
0;25;24;24;25;25;50;25;24;22;22
0;158;42;42;67;50;51;33;8;8;8
0;12;12;12;12;12;20;12;12;12;12
0;10;10;10;10;10;14;10;10;10;10
0;51;50;50;50;50;122;50;50;50;50
0;685;493;493;534;507;1223;481;438;435;435

461;0;0;0;0;0;0;0;0;0;0
0;21;14;14;15;14;22;13;11;11;11
0;417;98;98;166;121;121;75;7;7;7
0;9;8;8;8;8;11;8;8;8;8
0;8;7;7;7;7;9;7;7;7;7
0;22;21;21;21;21;46;21;21;21;21
0;836;305;305;419;343;587;267;153;153;153

463;0;0;0;0;0;0;0;0;0;0
0;16;8;8;10;8;8;6;3;3;3
0;534;123;123;211;152;152;92;3;3;3
0;5;4;4;5;4;4;4;3;3;3
0;4;4;4;4;4;4;4;3;3;3
0;4;6;6;6;6;5;4;3;3;3
0;888;243;243;391;293;271;151;3;3;3

854;0;0;0;0;0;0;0;0;0;0
0;6;39;39;39;51;92;80;62;3;3
0;120;37;37;57;46;55;40;16;3;3
0;4;11;11;11;14;23;20;16;3;3
0;4;11;11;11;14;23;20;16;3;3
0;4;4;4;4;4;4;4;4;3;3
0;198;98;98;130;126;186;147;89;3;3

964;0;0;0;0;0;0;0;0;0;0
0;3;2;2;2;2;2;2;1;1;1
0;72;17;17;29;21;21;13;1;1;1
0;2;2;2;2;2;2;2;1;1;1
0;2;2;2;2;2;2;2;1;1;1
0;2;2;2;2;2;2;2;1;1;1
0;119;28;28;47;34;34;21;1;1;1

2653;0;0;0;0;0;0;0;0;0;0
0;7;6;6;90;89;89;89;89;5;5
0;73;21;21;44;37;37;29;18;5;5
0;6;6;6;21;21;21;21;21;5;5
0;6;6;6;21;21;21;21;21;5;5
0;6;6;6;18;18;18;18;18;5;5
0;118;31;31;202;190;190;177;159;5;5

965;0;0;0;0;0;0;0;0;0;0
0;3;2;2;2;2;2;2;1;1;1
0;76;18;18;31;22;22;14;1;1;1
0;2;2;2;2;2;2;2;1;1;1
0;2;2;2;2;2;2;2;1;1;1
0;2;2;2;2;2;2;2;1;1;1
0;126;29;29;50;36;36;22;1;1;1

2717;0;0;0;0;0;0;0;0;0;0
0;1;1;1;75;75;75;75;75;1;1
0;1;1;1;12;12;12;12;12;1;1
0;1;1;1;15;15;15;15;15;1;1
0;1;1;1;15;15;15;15;15;1;1
