"#","arrivo","avg_penality","avg_score","btw","fascia_btwn","location","name","partenza","penality","peso","popolazione","popolazione_old","saturation_index","score"
"22","248 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00107378562275469,0.00107378562275469,0.00107378562275469,0.00107378562275469]","431.0","0","{37.55999999999949,44.31499999999869,0.0}","'wedge22'","171 as bus_stop","1.0","560","8","12","0","0.00250549978642761"
"23","424 as bus_stop","[1.0,0.7999999999999999,0.7999999999999999,1.0]","[0.00151725161080651,0.00151725161080651,0.00151725161080651,0.00151725161080651]","609.0","0","{73.22999999999956,30.06999999999971,0.0}","'wedge23'","324 as bus_stop","1.0","408","0","0","0","0.00354025375854853"
"24","224 as bus_stop","[1.0,1.0,1.0,0.8999999999999999]","[0.00022671575793661,0.00022671575793661,0.00022671575793661,0.00022671575793661]","91.0","0","{82.47500000000036,57.10499999999956,0.0}","'wedge24'","289 as bus_stop","1.0","415","1","2","0","0.00052900343518541"
"25","240 as bus_stop","[1.0,0.6,0.7999999999999998,0.2]","[0.01459949825833526,0.01459949825833526,0.01459949825833526,0.01459949825833526]","5860.0","2","{25.38500000000022,28.540000000000873,0.0}","'wedge25'","339 as bus_stop","1.0","449","16","24","0","0.03406549593611559"
"26","340 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00112361326186164,0.00112361326186164,0.00112361326186164,0.00112361326186164]","451.0","0","{77.375,51.38500000000204,0.0}","'wedge26'","316 as bus_stop","1.0","1286","4","3","0","0.00262176427767716"
"27","249 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00087322937534923,0.00087322937534923,0.00087322937534923,0.00087322937534923]","350.5","0","{49.88500000000022,4.8400000000001455,0.0}","'wedge27'","195 as bus_stop","1.0","439","4","7","0","0.00203753520914821"
"28","255 as bus_stop","[1.0,1.0,1.0,1.0]","[0.00649004999367975,0.00649004999367975,0.00649004999367975,0.00649004999367975]","2605.0","1","{48.0,40.92999999999665,0.0}","'wedge28'","322 as bus_stop","1.0","244","15","23","0","0.01514344998525275"
"29","370 as bus_stop","[1.0,1.0,0.8999999999999998,0.0]","[0.00034066996280067,0.00048281814459339,0.00051223664548508,0.00032134155882814]","54.0","0","{50.404999999999745,37.48500000000058,0.0}","'wedge29'","245 as bus_stop","1.0","11","4","1","0","0.00031391412637376"
"30","39 as bus_stop","[0.7,1.0,1.0,0.9999999999999999]","[0.00723995596223929,0.00723995596223929,0.00723995596223929,0.00723995596223929]","2906.0","1","{62.44499999999971,31.514999999999418,0.0}","'wedge30'","109 as bus_stop","1.0","926","9","20","0","0.01689323057855835"
"31","118 as bus_stop","[1.0,1.0,1.0,1.0]","[0.0004397289151188,0.0004397289151188,0.0004397289151188,0.0004397289151188]","176.5","0","{42.32000000000062,4.505000000001019,0.0}","'wedge31'","157 as bus_stop","1.0","653","6","5","0","0.0010260341352772"
"32","98 as bus_stop","[1.0,0.7,1.0,1.0]","[0.00002117674662045,0.00002117674662045,0.00002117674662045,0.00002117674662045]","8.5","0","{58.07000000000062,7.104999999999563,0.0}","'wedge32'","24 as bus_stop","1.0","645","2","6","0","0.00004941240878106"
