"#","appeal_matrix","code","fattore_scelta","list_raggiungibili","location","name","out_edges","popolazione","popolazione_old","stop_raggiungibili","vicini_geo"
"0","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","6666","[0.0001,0.0001,0.0001,0.0001,0.0001,0.0001]","[]","{49.5,34.20999999999913,0.0}","'Rivoli'","[115 as wedge,429 as wedge]","0","1","[0 as bus_stop,1 as bus_stop,3 as bus_stop,4 as bus_stop,5 as bus_stop,6 as bus_stop,22 as bus_stop,429 as bus_stop]","[0 as bus_stop,82 as bus_stop,167 as bus_stop,204 as bus_stop,216 as bus_stop,245 as bus_stop,346 as bus_stop]"
"1","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","6668","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{62.3799999999992,34.95999999999913,0.0}","'Bernini'","[90 as wedge,377 as wedge]","2","0","[0 as bus_stop,1 as bus_stop,3 as bus_stop,4 as bus_stop,5 as bus_stop,6 as bus_stop,22 as bus_stop,429 as bus_stop]","[1 as bus_stop,35 as bus_stop,109 as bus_stop,165 as bus_stop,219 as bus_stop,279 as bus_stop,379 as bus_stop,391 as bus_stop]"
"2","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","6671","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{72.96999999999935,26.5,0.0}","'Porta Susa'","[]","0","0","[2 as bus_stop]","[2 as bus_stop,423 as bus_stop,424 as bus_stop]"
"3","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","6664","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{32.76000000000022,33.2699999999968,0.0}","'Pozzo Strada'","[132 as wedge,396 as wedge]","1","0","[0 as bus_stop,1 as bus_stop,3 as bus_stop,4 as bus_stop,5 as bus_stop,6 as bus_stop,22 as bus_stop,429 as bus_stop]","[3 as bus_stop,278 as bus_stop,409 as bus_stop]"
"4","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","6665","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{40.79999999999927,33.73999999999796,0.0}","'Monte Grappa'","[107 as wedge,214 as wedge]","2","0","[0 as bus_stop,1 as bus_stop,3 as bus_stop,4 as bus_stop,5 as bus_stop,6 as bus_stop,22 as bus_stop,429 as bus_stop]","[4 as bus_stop,207 as bus_stop,217 as bus_stop,348 as bus_stop,374 as bus_stop]"
"5","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","6662","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{16.75,32.30000000000291,0.0}","'Marche'","[38 as wedge]","1","0","[0 as bus_stop,1 as bus_stop,3 as bus_stop,4 as bus_stop,5 as bus_stop,6 as bus_stop,22 as bus_stop,429 as bus_stop]","[5 as bus_stop,14 as bus_stop,16 as bus_stop]"
"6","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","6663","[0.0001,0.0001,0.0001,0.0001,0.0001,0.0001]","[]","{22.700000000000728,32.68000000000029,0.0}","'Massaua'","[172 as wedge,391 as wedge]","0","1","[0 as bus_stop,1 as bus_stop,3 as bus_stop,4 as bus_stop,5 as bus_stop,6 as bus_stop,22 as bus_stop,429 as bus_stop]","[6 as bus_stop,15 as bus_stop,73 as bus_stop,76 as bus_stop,88 as bus_stop,209 as bus_stop,226 as bus_stop,310 as bus_stop,355 as bus_stop]"
"7","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[1,1,1,94,94,94,94,94,1,1],[1,1,1,15,15,15,15,15,1,1],[1,1,1,18,18,18,18,18,1,1],[1,1,1,18,18,18,18,18,1,1]] as matrix","462","[0.0001,0.0001,0.00043548946571786,0.00043548946571786,0.00043548946571786,0.00043548946571786]","[]","{71.29999999999927,39.13999999999942,0.0}","'Schina'","[120 as wedge]","0","8","[7 as bus_stop,293 as bus_stop]","[7 as bus_stop,12 as bus_stop]"
"8","[[2,2,2,2,2,2,2,1,1,1],[2,2,2,2,2,2,2,1,1,1],[2,2,2,2,2,2,2,1,1,1],[385,87,87,151,108,108,65,1,1,1],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","458","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{63.48999999999978,43.06999999999971,0.0}","'Maria Vittoria'","[434 as wedge]","7","0","[7 as bus_stop,8 as bus_stop,9 as bus_stop,293 as bus_stop]","[8 as bus_stop,10 as bus_stop,137 as bus_stop,268 as bus_stop,328 as bus_stop,402 as bus_stop,418 as bus_stop]"
"9","[[2,2,2,2,2,2,2,1,1,1],[385,87,87,151,108,108,65,1,1,1],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[1,1,1,94,94,94,94,94,1,1],[1,1,1,15,15,15,15,15,1,1]] as matrix","460","[0.00043548946571786,0.00043548946571786,0.0001,0.0001,0.00043548946571786,0.00043548946571786]","[]","{67.31999999999971,41.13999999999942,0.0}","'Collegno'","[340 as wedge]","0","8","[7 as bus_stop,9 as bus_stop,293 as bus_stop]","[9 as bus_stop,11 as bus_stop]"
"10","[[2,2,2,2,2,2,2,1,1,1],[2,2,2,2,2,2,2,1,1,1],[385,87,87,151,108,108,65,1,1,1],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[1,1,1,94,94,94,94,94,1,1]] as matrix","459","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{63.76000000000022,42.9800000000032,0.0}","'Maria Vittoria'","[379 as wedge,435 as wedge]","0","0","[7 as bus_stop,8 as bus_stop,9 as bus_stop,10 as bus_stop,13 as bus_stop,14 as bus_stop,15 as bus_stop,29 as bus_stop,31 as bus_stop,33 as bus_stop,35 as bus_stop,38 as bus_stop,39 as bus_stop,40 as bus_stop,41 as bus_stop,42 as bus_stop,46 as bus_stop,47 as bus_stop,75 as bus_stop,81 as bus_stop,82 as bus_stop,84 as bus_stop,86 as bus_stop,87 as bus_stop,88 as bus_stop,89 as bus_stop,95 as bus_stop,97 as bus_stop,100 as bus_stop,103 as bus_stop,106 as bus_stop,109 as bus_stop,110 as bus_stop,115 as bus_stop,117 as bus_stop,119 as bus_stop,120 as bus_stop,124 as bus_stop,126 as bus_stop,127 as bus_stop,129 as bus_stop,130 as bus_stop,134 as bus_stop,135 as bus_stop,136 as bus_stop,137 as bus_stop,138 as bus_stop,148 as bus_stop,149 as bus_stop,151 as bus_stop,158 as bus_stop,161 as bus_stop,165 as bus_stop,166 as bus_stop,169 as bus_stop,171 as bus_stop,174 as bus_stop,177 as bus_stop,178 as bus_stop,179 as bus_stop,180 as bus_stop,186 as bus_stop,188 as bus_stop,190 as bus_stop,192 as bus_stop,195 as bus_stop,198 as bus_stop,199 as bus_stop,201 as bus_stop,202 as bus_stop,206 as bus_stop,207 as bus_stop,208 as bus_stop,209 as bus_stop,211 as bus_stop,212 as bus_stop,216 as bus_stop,217 as bus_stop,218 as bus_stop,219 as bus_stop,227 as bus_stop,234 as bus_stop,237 as bus_stop,238 as bus_stop,240 as bus_stop,241 as bus_stop,242 as bus_stop,244 as bus_stop,246 as bus_stop,247 as bus_stop,248 as bus_stop,249 as bus_stop,251 as bus_stop,253 as bus_stop,255 as bus_stop,256 as bus_stop,262 as bus_stop,263 as bus_stop,266 as bus_stop,267 as bus_stop,271 as bus_stop,272 as bus_stop,275 as bus_stop,276 as bus_stop,277 as bus_stop,278 as bus_stop,279 as bus_stop,281 as bus_stop,284 as bus_stop,286 as bus_stop,293 as bus_stop,297 as bus_stop,303 as bus_stop,304 as bus_stop,305 as bus_stop,306 as bus_stop,310 as bus_stop,314 as bus_stop,317 as bus_stop,318 as bus_stop,320 as bus_stop,322 as bus_stop,325 as bus_stop,326 as bus_stop,327 as bus_stop,328 as bus_stop,329 as bus_stop,333 as bus_stop,334 as bus_stop,336 as bus_stop,339 as bus_stop,341 as bus_stop,343 as bus_stop,347 as bus_stop,348 as bus_stop,350 as bus_stop,353 as bus_stop,355 as bus_stop,358 as bus_stop,361 as bus_stop,364 as bus_stop,365 as bus_stop,373 as bus_stop,375 as bus_stop,377 as bus_stop,378 as bus_stop,379 as bus_stop,380 as bus_stop,381 as bus_stop,382 as bus_stop,384 as bus_stop,386 as bus_stop,387 as bus_stop,388 as bus_stop,390 as bus_stop,391 as bus_stop,392 as bus_stop,393 as bus_stop,396 as bus_stop,398 as bus_stop,399 as bus_stop,402 as bus_stop,405 as bus_stop,406 as bus_stop,407 as bus_stop,409 as bus_stop,410 as bus_stop,411 as bus_stop,412 as bus_stop,413 as bus_stop,414 as bus_stop,415 as bus_stop,416 as bus_stop,417 as bus_stop,418 as bus_stop,421 as bus_stop,433 as bus_stop,434 as bus_stop]","[8 as bus_stop,10 as bus_stop,137 as bus_stop,268 as bus_stop,328 as bus_stop,402 as bus_stop,418 as bus_stop]"
"11","[[385,87,87,151,108,108,65,1,1,1],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[1,1,1,94,94,94,94,94,1,1],[1,1,1,15,15,15,15,15,1,1],[1,1,1,18,18,18,18,18,1,1]] as matrix","461","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{67.67000000000007,41.04000000000087,0.0}","'Collegno'","[321 as wedge]","0","0","[7 as bus_stop,8 as bus_stop,9 as bus_stop,10 as bus_stop,11 as bus_stop,13 as bus_stop,14 as bus_stop,15 as bus_stop,29 as bus_stop,31 as bus_stop,33 as bus_stop,35 as bus_stop,38 as bus_stop,39 as bus_stop,40 as bus_stop,41 as bus_stop,42 as bus_stop,46 as bus_stop,47 as bus_stop,75 as bus_stop,81 as bus_stop,82 as bus_stop,84 as bus_stop,86 as bus_stop,87 as bus_stop,88 as bus_stop,89 as bus_stop,95 as bus_stop,97 as bus_stop,100 as bus_stop,103 as bus_stop,106 as bus_stop,109 as bus_stop,110 as bus_stop,115 as bus_stop,117 as bus_stop,119 as bus_stop,120 as bus_stop,124 as bus_stop,126 as bus_stop,127 as bus_stop,129 as bus_stop,130 as bus_stop,134 as bus_stop,135 as bus_stop,136 as bus_stop,138 as bus_stop,148 as bus_stop,149 as bus_stop,151 as bus_stop,158 as bus_stop,161 as bus_stop,165 as bus_stop,166 as bus_stop,169 as bus_stop,171 as bus_stop,174 as bus_stop,177 as bus_stop,178 as bus_stop,179 as bus_stop,180 as bus_stop,186 as bus_stop,188 as bus_stop,190 as bus_stop,192 as bus_stop,195 as bus_stop,198 as bus_stop,199 as bus_stop,201 as bus_stop,202 as bus_stop,206 as bus_stop,207 as bus_stop,208 as bus_stop,209 as bus_stop,211 as bus_stop,212 as bus_stop,216 as bus_stop,217 as bus_stop,218 as bus_stop,219 as bus_stop,227 as bus_stop,234 as bus_stop,237 as bus_stop,238 as bus_stop,240 as bus_stop,241 as bus_stop,242 as bus_stop,244 as bus_stop,246 as bus_stop,247 as bus_stop,248 as bus_stop,249 as bus_stop,251 as bus_stop,253 as bus_stop,255 as bus_stop,256 as bus_stop,262 as bus_stop,263 as bus_stop,266 as bus_stop,267 as bus_stop,271 as bus_stop,272 as bus_stop,276 as bus_stop,277 as bus_stop,278 as bus_stop,279 as bus_stop,281 as bus_stop,284 as bus_stop,286 as bus_stop,293 as bus_stop,297 as bus_stop,303 as bus_stop,304 as bus_stop,305 as bus_stop,306 as bus_stop,310 as bus_stop,314 as bus_stop,317 as bus_stop,318 as bus_stop,320 as bus_stop,322 as bus_stop,325 as bus_stop,326 as bus_stop,327 as bus_stop,328 as bus_stop,329 as bus_stop,333 as bus_stop,334 as bus_stop,336 as bus_stop,339 as bus_stop,341 as bus_stop,343 as bus_stop,347 as bus_stop,348 as bus_stop,350 as bus_stop,353 as bus_stop,355 as bus_stop,358 as bus_stop,361 as bus_stop,364 as bus_stop,365 as bus_stop,373 as bus_stop,375 as bus_stop,377 as bus_stop,378 as bus_stop,379 as bus_stop,380 as bus_stop,381 as bus_stop,382 as bus_stop,384 as bus_stop,386 as bus_stop,387 as bus_stop,388 as bus_stop,390 as bus_stop,391 as bus_stop,392 as bus_stop,393 as bus_stop,396 as bus_stop,398 as bus_stop,399 as bus_stop,405 as bus_stop,406 as bus_stop,407 as bus_stop,409 as bus_stop,410 as bus_stop,411 as bus_stop,412 as bus_stop,415 as bus_stop,416 as bus_stop,417 as bus_stop,418 as bus_stop,421 as bus_stop,433 as bus_stop,434 as bus_stop]","[9 as bus_stop,11 as bus_stop]"
"12","[[0,0,0,0,0,0,0,0,0,0],[1,1,1,94,94,94,94,94,1,1],[1,1,1,15,15,15,15,15,1,1],[1,1,1,18,18,18,18,18,1,1],[1,1,1,18,18,18,18,18,1,1],[1,1,1,15,15,15,15,15,1,1]] as matrix","463","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{71.84000000000015,38.93000000000029,0.0}","'Schina'","[41 as wedge]","0","0","[7 as bus_stop,8 as bus_stop,9 as bus_stop,10 as bus_stop,11 as bus_stop,12 as bus_stop,13 as bus_stop,14 as bus_stop,15 as bus_stop,29 as bus_stop,31 as bus_stop,33 as bus_stop,35 as bus_stop,38 as bus_stop,39 as bus_stop,40 as bus_stop,41 as bus_stop,42 as bus_stop,46 as bus_stop,47 as bus_stop,75 as bus_stop,81 as bus_stop,82 as bus_stop,84 as bus_stop,86 as bus_stop,87 as bus_stop,88 as bus_stop,89 as bus_stop,95 as bus_stop,97 as bus_stop,100 as bus_stop,103 as bus_stop,106 as bus_stop,109 as bus_stop,110 as bus_stop,115 as bus_stop,117 as bus_stop,119 as bus_stop,120 as bus_stop,126 as bus_stop,129 as bus_stop,130 as bus_stop,134 as bus_stop,135 as bus_stop,136 as bus_stop,138 as bus_stop,148 as bus_stop,149 as bus_stop,151 as bus_stop,158 as bus_stop,161 as bus_stop,165 as bus_stop,166 as bus_stop,169 as bus_stop,171 as bus_stop,174 as bus_stop,177 as bus_stop,178 as bus_stop,179 as bus_stop,180 as bus_stop,188 as bus_stop,190 as bus_stop,192 as bus_stop,195 as bus_stop,198 as bus_stop,199 as bus_stop,201 as bus_stop,202 as bus_stop,206 as bus_stop,207 as bus_stop,209 as bus_stop,211 as bus_stop,212 as bus_stop,216 as bus_stop,217 as bus_stop,218 as bus_stop,219 as bus_stop,227 as bus_stop,234 as bus_stop,237 as bus_stop,238 as bus_stop,240 as bus_stop,241 as bus_stop,242 as bus_stop,244 as bus_stop,246 as bus_stop,247 as bus_stop,248 as bus_stop,249 as bus_stop,251 as bus_stop,253 as bus_stop,255 as bus_stop,256 as bus_stop,262 as bus_stop,263 as bus_stop,266 as bus_stop,267 as bus_stop,271 as bus_stop,272 as bus_stop,276 as bus_stop,277 as bus_stop,281 as bus_stop,284 as bus_stop,286 as bus_stop,293 as bus_stop,297 as bus_stop,303 as bus_stop,304 as bus_stop,306 as bus_stop,310 as bus_stop,314 as bus_stop,317 as bus_stop,318 as bus_stop,320 as bus_stop,322 as bus_stop,325 as bus_stop,326 as bus_stop,327 as bus_stop,328 as bus_stop,329 as bus_stop,333 as bus_stop,334 as bus_stop,336 as bus_stop,339 as bus_stop,341 as bus_stop,343 as bus_stop,347 as bus_stop,348 as bus_stop,350 as bus_stop,353 as bus_stop,355 as bus_stop,358 as bus_stop,361 as bus_stop,364 as bus_stop,365 as bus_stop,373 as bus_stop,375 as bus_stop,377 as bus_stop,378 as bus_stop,379 as bus_stop,380 as bus_stop,381 as bus_stop,384 as bus_stop,386 as bus_stop,387 as bus_stop,388 as bus_stop,390 as bus_stop,391 as bus_stop,392 as bus_stop,393 as bus_stop,396 as bus_stop,398 as bus_stop,399 as bus_stop,405 as bus_stop,406 as bus_stop,407 as bus_stop,409 as bus_stop,410 as bus_stop,411 as bus_stop,412 as bus_stop,415 as bus_stop,416 as bus_stop,417 as bus_stop,418 as bus_stop,421 as bus_stop,433 as bus_stop,434 as bus_stop]","[7 as bus_stop,12 as bus_stop]"
"13","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","854","[0.0001,0.0001,0.0001,0.0001,0.0001,0.0001]","[]","{9.600000000000364,32.12000000000262,0.0}","'Rieti Nord'","[]","2","9","[13 as bus_stop]","[13 as bus_stop,18 as bus_stop,183 as bus_stop]"
"14","[[2,3,3,3,3,3,3,3,2,2],[2,43,43,43,56,104,90,70,2,2],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[4,9,9,9,10,15,14,12,4,4],[4,5,5,5,6,7,7,6,4,4]] as matrix","964","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{15.799999999999272,32.470000000001164,0.0}","'Marche'","[442 as wedge]","1","0","[13 as bus_stop,14 as bus_stop]","[5 as bus_stop,14 as bus_stop,16 as bus_stop]"
"15","[[1873,428,428,738,533,537,329,16,9,9],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[7,20,20,20,24,43,35,28,7,7],[5,7,7,7,8,12,11,9,5,5],[5,8,8,8,9,13,11,10,5,5]] as matrix","2653","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{20.5,32.75,0.0}","'Massaua Ovest'","[410 as wedge]","1","0","[13 as bus_stop,14 as bus_stop,15 as bus_stop]","[6 as bus_stop,15 as bus_stop,17 as bus_stop,73 as bus_stop,88 as bus_stop,226 as bus_stop,310 as bus_stop]"
"16","[[2,43,43,43,56,104,90,70,2,2],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[4,9,9,9,10,15,14,12,4,4],[4,5,5,5,6,7,7,6,4,4],[4,5,5,5,6,7,7,6,4,4]] as matrix","965","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{15.950000000000728,32.13999999999942,0.0}","'Marche'","[187 as wedge,278 as wedge]","0","0","[13 as bus_stop,14 as bus_stop,15 as bus_stop,16 as bus_stop,17 as bus_stop,31 as bus_stop,33 as bus_stop,35 as bus_stop,42 as bus_stop,46 as bus_stop,47 as bus_stop,73 as bus_stop,76 as bus_stop,77 as bus_stop,82 as bus_stop,84 as bus_stop,86 as bus_stop,88 as bus_stop,96 as bus_stop,102 as bus_stop,103 as bus_stop,110 as bus_stop,111 as bus_stop,119 as bus_stop,121 as bus_stop,124 as bus_stop,127 as bus_stop,129 as bus_stop,134 as bus_stop,136 as bus_stop,151 as bus_stop,163 as bus_stop,166 as bus_stop,177 as bus_stop,179 as bus_stop,180 as bus_stop,181 as bus_stop,186 as bus_stop,188 as bus_stop,194 as bus_stop,198 as bus_stop,202 as bus_stop,206 as bus_stop,207 as bus_stop,208 as bus_stop,209 as bus_stop,211 as bus_stop,216 as bus_stop,219 as bus_stop,240 as bus_stop,241 as bus_stop,242 as bus_stop,246 as bus_stop,250 as bus_stop,251 as bus_stop,252 as bus_stop,253 as bus_stop,255 as bus_stop,259 as bus_stop,263 as bus_stop,267 as bus_stop,276 as bus_stop,278 as bus_stop,279 as bus_stop,303 as bus_stop,305 as bus_stop,306 as bus_stop,310 as bus_stop,317 as bus_stop,320 as bus_stop,322 as bus_stop,325 as bus_stop,334 as bus_stop,335 as bus_stop,337 as bus_stop,347 as bus_stop,348 as bus_stop,350 as bus_stop,354 as bus_stop,355 as bus_stop,361 as bus_stop,364 as bus_stop,365 as bus_stop,375 as bus_stop,379 as bus_stop,380 as bus_stop,381 as bus_stop,382 as bus_stop,387 as bus_stop,388 as bus_stop,391 as bus_stop,393 as bus_stop,395 as bus_stop,401 as bus_stop,405 as bus_stop,409 as bus_stop,410 as bus_stop,411 as bus_stop,413 as bus_stop,415 as bus_stop,416 as bus_stop,417 as bus_stop]","[5 as bus_stop,14 as bus_stop,16 as bus_stop]"
"17","[[13,204,204,204,267,489,425,330,13,13],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[1,1,1,112,112,112,112,112,1,1],[1,1,1,18,18,18,18,18,1,1],[1,1,1,22,22,22,22,22,1,1]] as matrix","2717","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{20.0,32.2300000000032,0.0}","'Massaua Capolinea'","[216 as wedge]","0","0","[13 as bus_stop,14 as bus_stop,15 as bus_stop,17 as bus_stop]","[15 as bus_stop,17 as bus_stop,73 as bus_stop,88 as bus_stop,310 as bus_stop]"
"18","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","855","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{10.159999999999854,31.779999999998836,0.0}","'Rieti Nord'","[355 as wedge,417 as wedge]","0","0","[13 as bus_stop,14 as bus_stop,15 as bus_stop,16 as bus_stop,17 as bus_stop,18 as bus_stop,19 as bus_stop,21 as bus_stop,31 as bus_stop,33 as bus_stop,35 as bus_stop,42 as bus_stop,46 as bus_stop,47 as bus_stop,73 as bus_stop,76 as bus_stop,77 as bus_stop,82 as bus_stop,84 as bus_stop,86 as bus_stop,88 as bus_stop,96 as bus_stop,102 as bus_stop,103 as bus_stop,110 as bus_stop,111 as bus_stop,119 as bus_stop,121 as bus_stop,124 as bus_stop,127 as bus_stop,129 as bus_stop,134 as bus_stop,136 as bus_stop,137 as bus_stop,145 as bus_stop,151 as bus_stop,163 as bus_stop,166 as bus_stop,175 as bus_stop,177 as bus_stop,179 as bus_stop,180 as bus_stop,186 as bus_stop,188 as bus_stop,194 as bus_stop,198 as bus_stop,202 as bus_stop,206 as bus_stop,207 as bus_stop,208 as bus_stop,209 as bus_stop,211 as bus_stop,215 as bus_stop,216 as bus_stop,219 as bus_stop,224 as bus_stop,235 as bus_stop,240 as bus_stop,241 as bus_stop,242 as bus_stop,246 as bus_stop,250 as bus_stop,251 as bus_stop,252 as bus_stop,253 as bus_stop,255 as bus_stop,259 as bus_stop,263 as bus_stop,267 as bus_stop,275 as bus_stop,276 as bus_stop,278 as bus_stop,279 as bus_stop,289 as bus_stop,295 as bus_stop,303 as bus_stop,305 as bus_stop,306 as bus_stop,310 as bus_stop,311 as bus_stop,316 as bus_stop,317 as bus_stop,320 as bus_stop,322 as bus_stop,325 as bus_stop,334 as bus_stop,335 as bus_stop,337 as bus_stop,340 as bus_stop,347 as bus_stop,348 as bus_stop,350 as bus_stop,354 as bus_stop,355 as bus_stop,361 as bus_stop,364 as bus_stop,365 as bus_stop,375 as bus_stop,376 as bus_stop,379 as bus_stop,380 as bus_stop,381 as bus_stop,382 as bus_stop,387 as bus_stop,388 as bus_stop,391 as bus_stop,393 as bus_stop,395 as bus_stop,401 as bus_stop,402 as bus_stop,405 as bus_stop,408 as bus_stop,409 as bus_stop,410 as bus_stop,411 as bus_stop,413 as bus_stop,414 as bus_stop,415 as bus_stop,416 as bus_stop,417 as bus_stop,422 as bus_stop,426 as bus_stop]","[13 as bus_stop,18 as bus_stop,183 as bus_stop]"
"19","[[4,4,4,4,4,4,4,3,3,3],[4,4,4,4,4,4,4,3,3,3],[4,4,4,4,4,4,4,3,3,3],[64,17,17,27,20,20,14,3,3,3],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","186","[0.26369830965726115,0.26369830965726115,0.26369830965726115,0.26369830965726115,0.0001,0.0001]","[]","{65.90999999999985,55.33999999999651,0.0}","'Ospedale Amedeo di Savoia'","[21 as wedge]","2","4","[19 as bus_stop,21 as bus_stop]","[19 as bus_stop,20 as bus_stop,231 as bus_stop,319 as bus_stop]"
