"#","appeal_matrix","code","fattore_scelta","list_raggiungibili","location","name","out_edges","popolazione","popolazione_old","stop_raggiungibili","vicini_geo"
"226","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[1,2,2,2,2,2,1,1,1,1],[1,2,2,2,2,2,1,1,1,1],[1,2,2,2,2,2,1,1,1,1],[1,2,2,2,2,2,1,1,1,1]] as matrix","1854","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{22.049999999999272,33.94999999999709,0.0}","'Massaua Nord'","[372 as wedge]","0","0","[13 as bus_stop,14 as bus_stop,15 as bus_stop,19 as bus_stop,21 as bus_stop,31 as bus_stop,33 as bus_stop,35 as bus_stop,42 as bus_stop,46 as bus_stop,47 as bus_stop,82 as bus_stop,84 as bus_stop,86 as bus_stop,88 as bus_stop,96 as bus_stop,102 as bus_stop,103 as bus_stop,110 as bus_stop,111 as bus_stop,119 as bus_stop,121 as bus_stop,124 as bus_stop,127 as bus_stop,129 as bus_stop,134 as bus_stop,136 as bus_stop,137 as bus_stop,145 as bus_stop,151 as bus_stop,166 as bus_stop,177 as bus_stop,179 as bus_stop,180 as bus_stop,186 as bus_stop,188 as bus_stop,194 as bus_stop,198 as bus_stop,202 as bus_stop,206 as bus_stop,207 as bus_stop,208 as bus_stop,209 as bus_stop,211 as bus_stop,215 as bus_stop,216 as bus_stop,219 as bus_stop,224 as bus_stop,226 as bus_stop,240 as bus_stop,241 as bus_stop,242 as bus_stop,246 as bus_stop,250 as bus_stop,251 as bus_stop,252 as bus_stop,253 as bus_stop,255 as bus_stop,259 as bus_stop,263 as bus_stop,267 as bus_stop,275 as bus_stop,276 as bus_stop,278 as bus_stop,279 as bus_stop,289 as bus_stop,295 as bus_stop,303 as bus_stop,305 as bus_stop,306 as bus_stop,310 as bus_stop,311 as bus_stop,316 as bus_stop,317 as bus_stop,320 as bus_stop,322 as bus_stop,325 as bus_stop,334 as bus_stop,335 as bus_stop,337 as bus_stop,340 as bus_stop,347 as bus_stop,348 as bus_stop,350 as bus_stop,354 as bus_stop,355 as bus_stop,361 as bus_stop,364 as bus_stop,365 as bus_stop,375 as bus_stop,376 as bus_stop,379 as bus_stop,380 as bus_stop,381 as bus_stop,382 as bus_stop,387 as bus_stop,388 as bus_stop,391 as bus_stop,393 as bus_stop,395 as bus_stop,401 as bus_stop,402 as bus_stop,405 as bus_stop,409 as bus_stop,410 as bus_stop,411 as bus_stop,413 as bus_stop,414 as bus_stop,415 as bus_stop,416 as bus_stop,417 as bus_stop,422 as bus_stop,426 as bus_stop]","[6 as bus_stop,15 as bus_stop,73 as bus_stop,76 as bus_stop,209 as bus_stop,226 as bus_stop,355 as bus_stop]"
"227","[[0,0,0,0,0,0,0,0,0,0],[7,3,3,4,3,3,2,1,1,1],[231,53,53,91,65,65,40,1,1,1],[2,2,2,2,2,2,2,1,1,1],[2,2,2,2,2,2,2,1,1,1],[2,2,2,2,2,2,2,1,1,1]] as matrix","455","[0.0001,0.36798311994746014,0.36798311994746014,0.36798311994746014,0.36798311994746014,0.36798311994746014]","[]","{61.6299999999992,40.29000000000087,0.0}","'Tassoni'","[360 as wedge]","0","1","[7 as bus_stop,8 as bus_stop,9 as bus_stop,87 as bus_stop,89 as bus_stop,100 as bus_stop,115 as bus_stop,120 as bus_stop,130 as bus_stop,135 as bus_stop,138 as bus_stop,149 as bus_stop,161 as bus_stop,171 as bus_stop,218 as bus_stop,227 as bus_stop,234 as bus_stop,247 as bus_stop,248 as bus_stop,256 as bus_stop,266 as bus_stop,293 as bus_stop,297 as bus_stop,314 as bus_stop,333 as bus_stop,336 as bus_stop,343 as bus_stop,377 as bus_stop,396 as bus_stop,418 as bus_stop,433 as bus_stop,434 as bus_stop]","[89 as bus_stop,137 as bus_stop,227 as bus_stop,328 as bus_stop,418 as bus_stop]"
"228","[[7,31,31,31,39,69,60,47,5,5],[70,25,25,36,31,37,28,15,5,5],[6,11,11,11,13,19,18,15,5,5],[6,11,11,11,13,19,18,15,5,5],[6,6,6,6,6,6,6,6,5,5],[113,66,66,84,85,128,103,67,5,5]] as matrix","1304","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{82.85000000000036,48.54000000000087,0.0}","'Ciri\u00C3\u00A8'","[348 as wedge]","3","0","[131 as bus_stop,228 as bus_stop]","[91 as bus_stop,228 as bus_stop]"
"229","[[2,7,7,26,27,32,30,28,2,2],[2,7,7,26,27,32,30,28,2,2],[2,3,3,18,18,18,18,18,2,2],[2,30,30,220,230,261,252,239,2,2],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","1674","[0.22323183362253907,0.22323183362253907,0.22323183362253907,0.22323183362253907,0.0001,0.0001]","[]","{49.23999999999978,2.349999999998545,0.0}","'Tolmino'","[]","1","3","[229 as bus_stop]","[93 as bus_stop,229 as bus_stop,249 as bus_stop,394 as bus_stop,403 as bus_stop]"
"230","[[15,52,52,52,64,108,95,77,14,14],[15,52,52,52,64,108,95,77,14,14],[15,15,15,15,15,16,16,15,14,14],[232,311,311,347,406,696,589,428,14,14],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","1522","[0.9311628272071931,0.9311628272071931,0.9311628272071931,0.9311628272071931,0.0001,0.0001]","[]","{53.530000000000655,30.540000000000873,0.0}","'Vittorio Emanuele Ii'","[138 as wedge]","0","1","[38 as bus_stop,40 as bus_stop,41 as bus_stop,230 as bus_stop,280 as bus_stop]","[79 as bus_stop,230 as bus_stop]"
"231","[[0,0,0,0,0,0,0,0,0,0],[16,6,6,9,7,7,6,3,3,3],[568,129,129,223,160,160,98,3,3,3],[5,4,4,4,4,4,4,3,3,3],[4,4,4,4,4,4,4,3,3,3],[4,4,4,4,4,4,4,3,3,3]] as matrix","3407","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{65.92000000000007,55.01000000000204,0.0}","'Ospedale Amedeo di Savoia'","[]","0","0","[231 as bus_stop]","[19 as bus_stop,20 as bus_stop,231 as bus_stop,319 as bus_stop]"
"232","[[19,20,20,20,20,21,21,21,19,19],[19,372,372,372,489,900,782,606,19,19],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[36,112,112,116,145,253,220,170,14,14],[969,247,247,406,307,331,218,49,14,14]] as matrix","1900","[0.9001876761185849,0.9001876761185849,0.0001,0.0001,0.8669779882070515,0.8669779882070515]","[]","{44.8700000000008,11.62000000000262,0.0}","'Issiglio'","[5 as wedge]","4","2","[122 as bus_stop,232 as bus_stop,358 as bus_stop,412 as bus_stop,421 as bus_stop]","[94 as bus_stop,232 as bus_stop]"
"233","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[6,5,5,6,5,5,5,4,4,4],[83,22,22,36,27,27,18,4,4,4]] as matrix","1940","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{59.11000000000058,7.599999999998545,0.0}","'Spalato'","[443 as wedge]","0","0","[193 as bus_stop,229 as bus_stop,233 as bus_stop,349 as bus_stop]","[98 as bus_stop,233 as bus_stop]"
"234","[[12,34,34,35,43,75,65,50,5,5],[310,79,79,130,98,105,69,15,5,5],[6,12,12,12,14,21,18,15,5,5],[6,12,12,12,14,20,18,15,5,5],[6,6,6,6,6,6,6,6,5,5],[513,158,158,242,199,245,176,71,5,5]] as matrix","1984","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{20.209999999999127,48.80000000000291,0.0}","'Casaleggio'","[404 as wedge]","0","0","[7 as bus_stop,8 as bus_stop,9 as bus_stop,87 as bus_stop,89 as bus_stop,100 as bus_stop,130 as bus_stop,135 as bus_stop,149 as bus_stop,171 as bus_stop,234 as bus_stop,247 as bus_stop,248 as bus_stop,256 as bus_stop,293 as bus_stop,314 as bus_stop,333 as bus_stop,377 as bus_stop,418 as bus_stop]","[234 as bus_stop,250 as bus_stop,314 as bus_stop]"
"235","[[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,0,0,0,0]] as matrix","861","[1.0001,1.0001,1.0001,1.0001,1.0001,1.0001]","[]","{20.51000000000022,25.7300000000032,0.0}","'De Sanctis'","[186 as wedge]","1","0","[13 as bus_stop,14 as bus_stop,15 as bus_stop,19 as bus_stop,21 as bus_stop,31 as bus_stop,33 as bus_stop,35 as bus_stop,42 as bus_stop,46 as bus_stop,47 as bus_stop,77 as bus_stop,82 as bus_stop,84 as bus_stop,86 as bus_stop,88 as bus_stop,96 as bus_stop,102 as bus_stop,103 as bus_stop,110 as bus_stop,111 as bus_stop,119 as bus_stop,121 as bus_stop,124 as bus_stop,127 as bus_stop,129 as bus_stop,134 as bus_stop,136 as bus_stop,137 as bus_stop,145 as bus_stop,151 as bus_stop,163 as bus_stop,166 as bus_stop,177 as bus_stop,179 as bus_stop,180 as bus_stop,186 as bus_stop,188 as bus_stop,194 as bus_stop,198 as bus_stop,202 as bus_stop,206 as bus_stop,207 as bus_stop,208 as bus_stop,209 as bus_stop,211 as bus_stop,215 as bus_stop,216 as bus_stop,219 as bus_stop,224 as bus_stop,235 as bus_stop,240 as bus_stop,241 as bus_stop,242 as bus_stop,246 as bus_stop,250 as bus_stop,251 as bus_stop,252 as bus_stop,253 as bus_stop,255 as bus_stop,259 as bus_stop,263 as bus_stop,267 as bus_stop,275 as bus_stop,276 as bus_stop,278 as bus_stop,279 as bus_stop,289 as bus_stop,295 as bus_stop,303 as bus_stop,305 as bus_stop,306 as bus_stop,310 as bus_stop,311 as bus_stop,316 as bus_stop,317 as bus_stop,320 as bus_stop,322 as bus_stop,325 as bus_stop,334 as bus_stop,335 as bus_stop,337 as bus_stop,340 as bus_stop,347 as bus_stop,348 as bus_stop,350 as bus_stop,354 as bus_stop,355 as bus_stop,361 as bus_stop,364 as bus_stop,365 as bus_stop,375 as bus_stop,376 as bus_stop,379 as bus_stop,380 as bus_stop,381 as bus_stop,382 as bus_stop,387 as bus_stop,388 as bus_stop,391 as bus_stop,393 as bus_stop,395 as bus_stop,401 as bus_stop,402 as bus_stop,405 as bus_stop,409 as bus_stop,410 as bus_stop,411 as bus_stop,413 as bus_stop,414 as bus_stop,415 as bus_stop,416 as bus_stop,417 as bus_stop,422 as bus_stop,426 as bus_stop]","[166 as bus_stop,196 as bus_stop,235 as bus_stop,254 as bus_stop,410 as bus_stop]"
