6666,6668,6664,6665,6662,6663,6667,6669
6668,6666,6664,6665,6662,6663,6667,6669
6671
6664,6666,6668,6665,6662,6663,6667,6669
6665,6666,6668,6664,6662,6663,6667,6669
6662,6666,6668,6664,6665,6663,6667,6669
6663,6666,6668,6664,6665,6662,6667,6669
462,464
458,462,460,464
460,462,464
459,462,458,460,854,964,2653,649,554,595,596,559,646,557,3287,623,621,622,2135,868,956,1849,1930,442,1853,454,2097,1513,444,1231,648,645,954,449,1524,1845,447,1535,2096,4,20,446,1767,448,875,456,443,3197,1987,1990,550,1988,644,862,990,439,2391,860,1515,9,952,1996,1773,1123,870,1549,552,3151,2424,1857,865,958,1863,3324,3445,2139,13,2142,1986,1530,455,1984,126,2093,864,856,5,2153,1555,1982,440,1226,955,1747,1998,1985,2151,3198,453,1859,620,2091,1611,21,876,960,597,1924,124,1520,464,1956,1072,1120,1994,867,1855,1983,871,1224,877,2000,555,2648,2146,457,2137,450,1768,445,866,874,451,3,959,1843,872,962,1512,858,873,3196,551,2392,452,2140,18,4001,1851,1533,2148,2144,1829,863,1122,17,2646,10,441,3199,216,3013,1847,1544,1518,12,2778,1989,1508,1992,4016,3149,869,1766,1144,1510,2387,2388
461,462,458,460,459,854,964,2653,649,554,595,596,559,646,557,3287,623,621,622,2135,868,956,1849,1930,442,1853,454,2097,1513,444,1231,648,645,954,449,1524,1845,447,1535,2096,4,20,446,1767,448,875,443,3197,1987,1990,550,1988,644,862,990,439,2391,860,1515,9,952,1996,1773,1123,870,1549,552,3151,2424,1857,865,958,1863,3324,3445,2139,13,2142,1986,1530,455,1984,126,2093,864,856,5,2153,1555,1982,440,1226,955,1747,1998,1985,2151,3198,453,1859,620,2091,21,876,960,597,1924,124,1520,464,1956,1072,1120,1994,867,1855,1983,871,1224,877,2000,555,2648,2146,457,2137,450,1768,445,866,874,451,3,959,1843,872,962,1512,858,873,3196,551,2392,452,2140,18,4001,1851,1533,2148,2144,1829,863,1122,17,2646,10,441,3199,216,1847,1544,1518,12,2778,1989,1508,3149,869,1766,1144,1510,2387,2388
463,462,458,460,459,461,854,964,2653,649,554,595,596,559,646,557,3287,623,621,622,2135,868,956,1849,1930,442,1853,454,2097,1513,444,1231,648,645,954,449,1524,1845,447,2096,20,446,1767,448,875,443,3197,1987,1990,550,1988,644,862,990,439,2391,860,1515,9,952,1773,1123,870,1549,552,3151,2424,1857,865,958,3324,3445,2139,13,2142,1986,1530,455,1984,126,2093,864,856,5,2153,1555,1982,440,1226,955,1747,1998,1985,2151,3198,453,1859,620,2091,21,876,1924,124,1520,464,1956,1072,1120,867,1855,1983,871,1224,877,2000,555,2648,2146,457,2137,450,1768,445,866,874,451,3,959,1843,872,962,1512,858,873,3196,551,2392,452,2140,18,4001,1851,2148,2144,1829,863,1122,17,2646,10,441,3199,216,1847,1544,1518,12,2778,1989,1508,3149,869,1766,1144,1510,2387,2388
854
964,854
2653,854,964
965,854,964,2653,2717,554,595,596,623,621,622,2654,963,1995,956,1849,1930,1853,1981,1979,1231,954,1620,1845,1745,1535,4,20,1767,875,1990,1997,862,860,9,952,1999,1996,1773,1980,552,1857,865,958,1863,3324,3445,13,1530,864,856,5,1555,2512,955,1917,1747,1998,2539,3198,1859,21,960,597,1072,1994,867,1855,871,877,2000,555,1768,1991,1977,3,959,1843,1993,962,858,873,3196,2392,18,4001,1851,1533,1829,863,17,10,1976,2012,1847,12,2778,1989,1992,3149,869,1766
2717,854,964,2653
855,854,964,2653,965,2717,186,184,554,595,596,623,621,622,2654,963,1995,956,1849,1930,1853,1981,1979,1231,954,1620,1845,1745,1535,4,20,1767,875,456,189,1990,1997,862,859,860,9,952,1996,1773,1980,552,1857,865,958,1863,3324,3445,3011,13,1530,2783,861,864,856,5,1555,2512,955,1917,1747,1998,2539,3198,1859,1611,21,960,597,2788,2680,1072,1994,867,1855,187,1947,871,877,2000,555,1768,1991,1977,1765,3,959,1843,1993,962,858,873,3196,2392,191,18,4001,1851,1533,1829,863,17,10,1976,2012,3013,1847,857,12,2778,1989,1992,4016,3149,869,1766,3463,193
186,184
185,462,458,460,854,964,2653,649,554,595,559,646,557,3287,623,621,622,1729,1727,1731,868,956,3010,1849,1930,442,1853,454,2097,1513,444,648,645,954,449,1524,1845,447,2096,20,446,1767,448,875,443,189,3197,1987,1990,550,1988,644,862,990,439,2391,860,1515,9,952,1773,1123,870,1549,552,3151,1857,865,3324,3445,13,1986,455,1984,126,2093,864,856,5,1555,1982,440,1226,955,1747,1985,3198,453,1859,3012,620,2091,21,876,1924,1520,464,1956,1072,1120,867,1855,187,1983,871,1224,877,2000,555,2648,457,450,1768,445,866,874,451,3,959,1843,872,962,1512,858,873,3196,551,2392,191,452,18,1851,1829,863,1122,17,2646,10,441,3199,216,1847,1544,1518,12,2778,1989,1508,3149,869,1766,1144,1510,193,2387,2388
184
6667,6666,6668,6664,6665,6662,6663,6669
403
1941,3281,1939,3283,1679
3276
3281,3283
3280,3276,3278
3278,3276
649,623,621,622,620
553,854,964,2653,186,184,554,595,596,559,557,3287,623,621,622,868,956,1849,1930,1853,2097,1981,1513,1979,1231,954,1524,1845,1535,2096,4,20,1767,875,456,189,1990,550,862,990,2391,860,1515,9,952,1996,1773,1123,870,1549,552,1857,865,958,1863,3324,3445,3011,13,1530,126,2093,864,856,5,1555,1226,955,1917,1747,1998,3198,1859,2091,1611,21,876,960,597,1924,1520,2680,1072,1120,1994,867,1855,187,1947,871,1224,877,2000,555,2648,1768,1977,866,1765,874,3,959,1843,872,962,1512,858,873,3196,551,2392,191,18,4001,1851,1533,1829,863,1122,17,2646,10,216,3013,1847,1544,1518,12,2778,1989,1508,1992,4016,3149,869,1766,1510,3463
554,1535,2783,1555,1611,2788,2680,1947,555,1765,4001,4016,3463
618,854,964,2653,186,184,554,595,596,559,557,3287,623,592,619,621,622,531,539,533,532,547,534,541,535,540,538,549,544,548,545,546,868,956,1849,1930,1853,2097,1981,1513,1979,1231,954,1620,1524,1845,1934,1535,2096,4,20,1767,875,456,536,594,189,1990,862,990,2391,860,1515,9,952,1996,1773,1123,870,1549,552,1857,865,958,1863,3324,3445,1928,3011,13,1530,2783,1900,126,2093,864,856,5,1555,1226,2512,955,1917,1747,1998,3198,1859,1932,2091,1611,21,876,960,597,1924,1520,2788,2680,1072,1120,1994,867,1855,187,1947,871,1224,877,2000,555,2648,1768,1977,866,1765,874,3,959,1843,3447,872,962,1512,858,873,3196,2392,191,18,4001,1851,1533,1829,863,1122,17,2646,10,216,593,3013,1847,1544,1518,12,2778,1989,1508,1992,4016,3149,869,1766,1926,1510,3463,193
595,186,184,596,1535,456,189,3011,1530,2783,1611,597,2788,2680,187,1947,1765,191,1533,3013,3463,193
3286,854,964,2653,186,184,554,595,596,559,557,3287,623,621,622,1519,1523,868,956,1849,1930,1853,2097,1981,1513,1979,1231,954,1620,1524,1845,1535,2096,4,20,1767,875,456,3354,189,1990,2090,1521,862,990,860,1515,9,952,1996,1773,1123,870,1549,552,1857,865,958,1863,3324,3445,3011,13,1530,2783,126,2093,864,856,5,1555,1226,2512,955,1917,1747,1998,3198,1859,2091,1611,21,960,597,1924,1520,2788,2094,2680,1072,1120,1994,867,1855,187,1947,871,1224,877,2000,555,2648,1768,1977,866,1765,2095,3,959,1843,3210,872,962,1512,858,2092,873,3196,2392,191,18,4001,1851,1533,1829,863,1122,17,2646,10,216,3013,1847,1544,1518,12,2778,1989,1508,1992,4016,3149,869,1766,1510,3463,193
596,186,184,1535,456,189,3011,1530,2783,1611,597,2788,2680,187,1947,1765,191,1533,3013,3463,193
