"#","arrivo","avg_penality","avg_score","btw","fascia_btwn","location","name","partenza","penality","peso","popolazione","popolazione_old","saturation_index","score"
"23","424 as bus_stop","[1.0,1.0,0.0,1.0]","[0.02251475146447134,0.02894753759717744,0.04181310986258963,0.01929835839811829]","609.0","0","{73.22999999999956,30.06999999999971,0.0}","'wedge23'","324 as bus_stop","1.0","408","0","1","0","0.2251475146447134"
"24","224 as bus_stop","[1.0,1.0,1.0,1.0]","[0.22529475524002907,0.21505408454730043,0.310633677679434,0.23894898283033383]","91.0","0","{82.47500000000036,57.10499999999956,0.0}","'wedge24'","289 as bus_stop","1.0","415","1","9","0","1.0752704227365022"
"25","240 as bus_stop","[0.2,0.0,0.19999999999999996,0.5]","[9.427107133160275,11.965174438241885,13.661780076140106,9.09873184840578]","5860.0","2","{25.38500000000022,28.540000000000873,0.0}","'wedge25'","339 as bus_stop","1.0","449","16","24","0","11.4931349664073"
"26","340 as bus_stop","[1.0,1.0,1.0,0.7]","[1.1814487864860603,1.1639889522030145,1.4578961626342763,1.0475900569827135]","451.0","0","{77.375,51.38500000000204,0.0}","'wedge26'","316 as bus_stop","1.0","1286","4","12","0","2.4443767996263315"
"27","249 as bus_stop","[1.0,1.0,1.0,1.0]","[1.08622233202597,1.139730821288333,1.4206503899157388,0.9417494110175899]","350.5","0","{49.88500000000022,4.8400000000001455,0.0}","'wedge27'","195 as bus_stop","1.0","439","6","4","0","0.7491188496730828"
"28","255 as bus_stop","[0.7,1.0,1.0,1.0]","[5.377523470297512,7.116423493182451,7.699186712797837,5.419550686664259]","2605.0","1","{48.0,40.92999999999665,0.0}","'wedge28'","322 as bus_stop","1.0","244","13","24","0","8.771527122924812"
"29","370 as bus_stop","[1.0,1.0,0.6,0.9999999999999999]","[0.04788069374324569,0.05269011964935844,0.05310480580068867,0.04799427563905052]","54.0","0","{50.404999999999745,37.48500000000058,0.0}","'wedge29'","245 as bus_stop","1.0","11","4","1","0","0.10039821226501275"
"30","39 as bus_stop","[1.0,0.7999999999999999,0.9999999999999999,1.0]","[5.176701404061845,6.021435105979887,6.763284574972014,4.266988186611645]","2906.0","1","{62.44499999999971,31.514999999999418,0.0}","'wedge30'","109 as bus_stop","1.0","926","9","20","0","7.5809434787516565"
"31","118 as bus_stop","[1.0,0.6,0.9999999999999999,1.0]","[0.5044598451817858,0.6896413073371247,0.8726942469389541,0.4640179166651024]","176.5","0","{42.32000000000062,4.505000000001019,0.0}","'wedge31'","157 as bus_stop","1.0","653","4","0","0","0.0"
"32","98 as bus_stop","[1.0,1.0,1.0,1.0]","[0.1316493087089345,0.16185120894216065,0.16340002433873632,0.1115147085534504]","8.5","0","{58.07000000000062,7.104999999999563,0.0}","'wedge32'","24 as bus_stop","1.0","645","2","1","0","0.05420853888014951"
